N,Time,1.INT,1.PFMIN,2.INT,2.PFMIN,3.INT,3.PFMIN
8,0,1,8,1,6,1,6
16,0,1,6,1,6,1,6
32,0,1,6,1,7,1,6
64,0,1,6,1,6,1,6
128,0,1,6,1,6,1,6
256,0,2,6,2,6,2,6
512,0,1,6,1,6,1,6
1024,0,2,6,1,6,1,6
1184,0,1,6,1,6,1,6
1344,0,1,6,3,6,2,6
1504,0,2,6,2,6,2,6
1664,0,1,6,1,6,1,6
1824,0,2,6,2,6,1,6
1984,0,1,6,1,6,2,6
2144,0,1,6,1,6,1,6
3104,0,1,6,1,6,1,6
4224,0,1,6,1,6,2,6
5664,0,1,6,1,6,1,6
7104,0,2,6,2,6,1,6
9664,0,2,6,2,6,2,6
16064,0,1,6,1,6,1,6
22464,0,2,6,2,6,1,6
30464,0,1,6,2,6,2,6
32064,0,1,6,2,6,2,6
33664,0,1,6,1,6,1,6
44864,0,2,6,2,6,2,6
59264,0,2,6,2,6,2,6
70464,0,1,6,1,6,1,6
112064,0,2,6,2,6,1,6
144064,0,1,10,1,6,1,6
176064,0,1,6,1,6,1,6
208064,0,2,6,2,6,2,6
240064,0,2,6,2,6,2,6
256064,0,1,6,1,6,1,6
272064,0,1,73,1,6,1,6
288064,0,2,6,3,3,1,6
384064,0,2,6,2,6,2,6
448064,0,1,6,1,6,1,6
512064,0,2,6,2,6,2,6
704064,0,2,10,2,6,2,6
1120064,0,2,45,1,6,1,6
1600064,0,1,45,1,6,1,6
2080064,0,1,45,1,6,1,6
2720064,0,1,45,1,6,2,6
3520064,0,1,46,1,6,2,6
3840064,0,2,45,2,6,1,6
4000064,0,1,45,2,6,2,6
4160064,0,1,45,1,6,1,6
4320064,0,2,45,2,6,1,6
4480064,0,2,45,2,6,2,6
4640064,0,2,45,2,6,2,6
5280064,0,2,45,2,6,2,6
7040064,0,2,45,2,6,1,6
8000064,0,1,45,1,6,2,6
11200064,0,1,397,2,6,2,6
16000064,0,2,397,1,6,2,6
22400064,0,2,396,2,6,2,6
28800064,0,2,397,2,6,2,6
30400064,0,3,397,2,6,2,6
32000064,0,5,396,3,6,2,6
40000064,0,4,574,4,574,3,574
51200064,0,4,243,5,243,4,243
60800064,0,5,542,5,542,5,542
73600064,0,6,601,7,601,6,601
80000064,0,7,631,9,631,6,631
128000064,0,9,597,10,597,10,597
