N,Time,1.INT,1.PFMIN,2.INT,2.PFMIN,3.INT,3.PFMIN
8,1030536,0,4,0,2,0,2
16,1017101,0,2,0,2,0,2
32,1016779,0,2,0,2,1,2
64,1025470,0,2,0,2,1,2
128,1034344,0,2,1,2,0,2
256,1022265,0,2,0,2,0,2
512,1015446,1,2,1,2,0,2
1024,1014706,1,2,1,2,0,2
1184,1051483,0,2,0,2,1,2
1344,1017538,0,2,0,2,1,2
1504,1029012,0,2,0,2,0,2
1664,1011316,0,2,1,2,0,2
1824,1016544,1,2,1,2,1,2
1984,1013231,0,2,0,2,1,2
2144,1012184,0,2,0,2,0,2
3104,1039081,0,2,0,2,0,2
4224,1018107,1,2,0,2,0,2
5664,1049987,0,2,0,2,0,2
7104,1016715,0,2,0,2,0,2
9664,1027904,0,2,0,2,1,2
16064,1023074,1,2,1,2,0,2
22464,983132,0,2,0,2,0,2
30464,1011515,0,2,0,2,0,2
32064,992920,0,2,0,2,0,2
33664,1006246,0,2,0,2,0,2
44864,991329,0,2,0,2,0,2
59264,1055314,0,2,0,2,0,2
70464,1043101,1,2,0,2,0,2
112064,1051905,1,2,0,2,0,2
144064,1061435,1,6,0,2,0,2
176064,1073913,0,2,0,2,0,2
208064,1065894,0,2,0,2,0,2
240064,1072751,0,2,0,2,0,2
256064,1078002,0,2,0,2,0,2
272064,1081807,0,2,0,2,0,2
288064,1079374,0,6,0,2,0,2
384064,1104044,0,2,0,2,0,2
448064,1115606,0,2,0,2,0,2
512064,1145448,0,2,0,2,0,2
704064,1199155,0,2,0,2,0,2
1120064,1232264,0,41,0,2,0,2
1600064,1324047,0,41,0,2,0,2
2080064,1414881,0,41,0,2,0,2
2720064,1537678,0,41,0,2,0,2
3520064,1690114,1,41,1,2,0,2
3840064,1751979,0,41,0,2,0,2
4000064,1867139,1,41,1,2,1,2
4160064,1813562,0,41,0,2,0,2
4320064,1955584,1,41,1,2,1,2
4480064,1914871,0,41,0,2,0,2
4640064,1950666,1,41,1,2,1,2
5280064,2098993,0,41,1,2,1,2
7040064,2508360,0,41,0,2,4,2
8000064,2638315,0,41,0,2,0,2
11200064,3370217,0,393,1,2,1,2
16000064,4441729,0,393,1,2,1,2
22400064,5973842,1,392,1,2,1,2
28800064,7885239,2,393,1,2,1,2
30400064,8321660,1,393,1,2,3,2
32000064,8899784,2,392,1,2,1,2
80000064,50428118,14,627,6,627,5,627
