N (MB),N (B),Xeon 5130 (ns),Xeon E5-2695 v2 (ns),
0.00049,514,1.506,1.25,
0.00098,1028,1.506,1.25,
0.00195,2045,1.506,1.25,
0.00293,3072,1.506,1.25,
0.00391,4100,1.506,1.25,
0.00586,6145,1.506,1.25,
0.00781,8189,1.506,1.251,
0.00977,10245,1.506,1.251,
0.01172,12289,1.506,1.251,
0.01367,14334,1.508,1.251,
0.01562,16379,1.508,1.251,
0.01758,18434,1.507,1.251,
0.01953,20479,1.509,1.25,
0.02148,22523,1.509,1.25,
0.02344,24579,1.51,1.251,
0.02539,26623,1.506,1.25,
0.02734,28668,1.506,1.253,
0.0293,30723,1.506,1.251,
0.03125,32768,1.507,1.251,
0.03516,36868,7.028,3.752,
0.03906,40957,7.028,3.752,
0.04297,45057,7.502,3.753,
0.04688,49157,7.461,3.752,
0.05078,53247,7.828,3.752,
0.05469,57347,7.548,3.752,
0.05859,61436,7.373,3.752,
0.0625,65536,7.353,3.752,
0.07031,73725,7.663,3.753,
0.07812,81915,7.912,3.752,
0.08594,90115,7.926,3.752,
0.09375,98304,8.024,3.752,
0.10156,106493,7.909,3.752,
0.10938,114693,8.068,3.752,
0.11719,122883,7.964,3.752,
0.125,131072,8.078,3.752,
0.14062,147451,8.546,3.753,
0.15625,163840,8.068,8.124,
0.17188,180229,8.059,5.661,
0.1875,196608,8.072,5.796,
0.20312,212987,8.07,5.991,
0.21875,229376,8.073,5.752,
0.23438,245765,8.072,11.571,
0.25,262144,8.055,12.09,
0.28125,294912,8.346,11.182,
0.3125,327680,8.288,11.869,
0.34375,360448,8.466,12.544,
0.375,393216,8.062,13.226,
0.40625,425984,8.757,15.121,
0.4375,458752,8.301,15.116,
0.46875,491520,8.564,15.568,
0.5,524288,8.351,15.125,
0.5625,589824,8.698,15.112,
0.625,655360,8.849,15.151,
0.6875,720896,9.047,15.109,
0.75,786432,9.056,15.12,
0.8125,851968,9.49,15.115,
0.875,917504,10.465,15.534,
0.9375,983040,10.957,15.112,
1,1048576,10.665,15.121,
1.125,1179648,11.519,15.128,
1.25,1310720,12.062,15.131,
1.375,1441792,12.29,15.118,
1.5,1572864,12.474,15.528,
1.625,1703936,12.62,15.115,
1.75,1835008,12.955,15.114,
1.875,1966080,12.753,15.116,
2,2097152,13.062,15.124,
2.25,2359296,15.928,15.121,
2.5,2621440,18.078,15.517,
2.75,2883584,21.459,15.122,
3,3145728,23.455,15.119,
3.25,3407872,26.475,15.138,
3.5,3670016,30.88,15.118,
3.75,3932160,36.586,15.118,
4,4194304,41.852,15.138,
4.5,4718592,53.525,15.145,
5,5242880,62.311,15.131,
5.5,5767168,71.353,15.149,
6,6291456,78.651,15.156,
6.5,6815744,87.018,15.123,
7,7340032,92.426,15.559,
7.5,7864320,97.64,15.144,
8,8388608,101.318,15.141,
9,9437184,,15.157,
10,10485760,,15.177,
11,11534336,,15.185,
12,12582912,,15.585,
13,13631488,,15.186,
14,14680064,,15.183,
15,15728640,,15.216,
16,16777216,,15.301,
18,18874368,,15.804,
20,20971520,,16.743,
22,23068672,,18.53,
24,25165824,,22.573,
26,27262976,,28.967,
28,29360128,,35.377,
30,31457280,,43.408,
32,33554432,,49.88,
36,37748736,,60.447,
40,41943040,,67.496,
44,46137344,,70.999,
48,50331648,,71.507,
52,54525952,,72.306,
56,58720256,,72.877,
60,62914560,,73.27,
