N,Time,1.INT,1.PFMIN,2.INT,2.PFMIN,3.INT,3.PFMIN
8,594651,2,6,0,2,0,2
16,591022,0,2,0,2,0,2
32,588343,0,2,0,2,0,2
64,590107,0,2,0,2,0,2
128,590433,0,2,0,2,0,2
256,589578,0,2,1,2,0,2
512,591092,0,2,0,2,0,2
1024,590698,0,2,1,2,0,2
1184,590187,0,2,0,2,0,2
1344,589933,0,2,0,2,0,2
1504,589546,0,2,0,2,0,2
1664,589650,0,2,0,2,0,2
1824,590006,0,2,0,2,0,2
1984,589519,0,2,0,2,0,2
2144,589421,0,2,1,2,1,2
2304,589191,0,2,0,2,0,2
2464,590182,0,2,1,2,0,2
2624,590598,0,2,0,2,0,2
2784,590364,0,2,0,2,0,2
2944,589575,0,2,0,2,0,2
3104,590145,0,2,0,2,0,2
3264,589762,0,2,0,2,0,2
3424,589308,0,2,0,2,0,2
3584,590431,0,2,1,2,1,2
3744,589243,0,2,0,2,0,2
3904,589705,0,2,1,2,0,2
4064,589761,0,2,0,2,0,2
4224,589725,0,2,0,2,0,2
4384,591031,0,2,0,2,0,2
4544,589976,0,2,0,2,0,2
4704,589914,0,2,0,2,0,2
4864,589302,0,2,0,2,0,2
5024,590214,0,2,0,2,0,2
5184,591402,0,2,0,2,0,2
5344,591042,0,2,0,2,0,2
5504,590085,0,2,0,2,0,2
5664,592280,1,2,0,2,1,2
5824,590438,0,2,0,2,0,2
5984,590378,0,2,0,2,1,2
6144,590638,0,2,0,2,0,2
6304,590360,0,2,0,2,0,2
6464,590418,0,2,0,2,0,2
6624,590354,0,2,0,2,0,2
6784,590342,0,2,0,2,0,2
6944,590686,0,2,0,2,0,2
7104,590175,1,2,0,2,1,2
7264,590320,0,2,0,2,0,2
7424,589521,0,2,1,2,1,2
7584,590115,0,2,0,2,0,2
7744,590833,0,2,0,2,0,2
7904,591181,0,2,0,2,0,2
8064,590361,0,2,0,2,0,2
9664,591372,0,2,0,2,0,2
11264,591061,0,2,0,2,0,2
