N,Time,1.INT,1.PFMIN,2.INT,2.PFMIN,3.INT,3.PFMIN
8,601996,2,6,0,2,0,2
16,591022,0,2,0,2,0,2
32,588343,0,2,0,2,0,2
64,590107,0,2,0,2,0,2
128,597182,0,2,0,2,0,2
256,592795,0,2,1,2,0,2
512,591092,0,2,0,2,0,2
1024,590766,0,2,1,2,0,2
1184,590187,0,2,0,2,0,2
1344,589933,0,2,0,2,0,2
1504,589546,0,2,0,2,0,2
1664,589650,0,2,0,2,0,2
1824,590006,0,2,0,2,0,2
1984,598257,0,2,0,2,0,2
2144,595206,0,2,1,2,1,2
3104,590145,0,2,0,2,0,2
4224,589725,0,2,0,2,0,2
5664,612273,1,2,0,2,1,2
7104,606850,1,2,0,2,1,2
9664,591372,0,2,0,2,0,2
16064,599323,0,2,1,2,1,2
22464,592747,0,2,0,2,0,2
30464,610123,1,2,1,2,0,2
32064,594842,0,2,0,2,0,2
33664,604591,0,2,1,2,1,2
44864,609042,1,2,0,2,1,2
59264,599559,0,2,0,2,0,2
70464,601290,0,2,0,2,0,2
112064,618359,0,2,0,2,0,2
144064,617545,0,6,0,2,0,2
176064,619170,0,2,0,2,0,2
208064,624846,0,2,0,2,0,2
240064,631709,0,2,1,2,0,2
256064,657498,1,2,0,2,0,2
272064,633921,0,2,0,2,0,2
288064,645504,0,6,0,2,0,2
384064,653741,0,2,0,2,0,2
448064,665349,0,2,0,2,0,2
512064,673756,0,2,0,2,0,2
704064,705851,0,2,0,2,0,2
1120064,841053,0,41,0,2,0,2
1600064,996346,0,41,0,2,0,2
2080064,1325258,2,41,0,2,0,2
2720064,1716262,1,41,0,2,0,2
3520064,2421809,1,41,1,2,1,2
3840064,2664181,0,41,0,2,0,2
4000064,2786167,1,41,0,2,0,2
4160064,2944912,1,41,0,2,0,2
4320064,3110211,1,41,0,2,0,2
4480064,3308595,1,41,1,2,0,2
4640064,3469279,0,41,1,2,1,2
5280064,4196478,1,41,0,2,0,2
7040064,6122805,1,41,0,2,0,2
8000064,7216819,1,41,2,2,1,2
11200064,10713836,2,393,3,2,2,2
16000064,15383038,2,393,3,2,3,2
22400064,21478843,4,392,4,2,4,2
28800064,27574834,3,393,5,2,6,2
30400064,29090680,4,393,5,2,4,2
32000064,30587832,4,392,5,2,4,2
40000064,91494915,12,9768,12,9768,13,9768
51200064,117261793,15,12503,16,12503,16,12503
60800064,140262323,18,14846,18,14846,18,14846
73600064,167912731,21,17971,22,17971,22,17971
80000064,180547384,23,19534,24,19534,24,19534
128000064,215758434,36,31253,37,31253,39,31253
