N,Time,1.INT,1.PFMIN,1.PFMAJ,2.INT,2.PFMIN,2.PFMAJ,3.INT,3.PFMIN,3.PFMAJ,4.INT,4.PFMIN,4.PFMAJ,5.INT,5.PFMIN,5.PFMAJ,6.INT,6.PFMIN,6.PFMAJ,7.INT,7.PFMIN,7.PFMAJ,8.INT,8.PFMIN,8.PFMAJ,9.INT,9.PFMIN,9.PFMAJ,10.INT,10.PFMIN,10.PFMAJ
8,619266,0,6,0,0,2,0,0,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0
16,584172,0,2,0,2,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0
32,578280,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0
64,580951,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0
128,581254,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0
256,581294,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0
512,581624,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0
1024,599460,1,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0
1184,581814,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0
1344,581196,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0
1504,581347,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0
1664,581280,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0
1824,581274,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0
1984,581261,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0
2144,590534,0,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,0,2,0,0,2,0,0,2,0,0,2,0
2304,581302,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0
2464,584734,0,2,0,0,2,0,1,2,0,1,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0
2624,581809,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0
2784,581591,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0
2944,581493,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0
3104,581827,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0
3264,581448,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0
3424,582937,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0
3584,598594,0,2,0,1,2,0,1,2,0,1,2,0,0,2,0,1,2,0,0,2,0,0,2,0,0,2,0,0,2,0
3744,585346,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,2,0
3904,587686,0,2,0,1,2,0,1,2,0,1,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0
4064,581707,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0
4224,581856,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0
4384,582312,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0
4544,581994,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0
4704,581714,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0
4864,582154,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0
5024,596665,0,2,0,1,2,0,1,2,0,1,2,0,0,2,0,1,2,0,0,2,0,0,2,0,0,2,0,0,2,0
5184,581778,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,2,0
